correct,in_candidates,correct_spelling,misspelling,phoneme_rep,suggested,suggested_phoneme,candidates
1.0,1.0,israelis,israelies,IH Z R AH L IY Z,israelis,IH Z R EY L IY Z,"['israelis', 'israelite', 'sinhalese', 'tyrannies', 'grizzlies', 'serials', 'cereals', 'royalties', 'minerals', 'visibly']"
0.0,0.0,ithaca,ihaca,AY HH AA K AH,osaka,OW S AA K AH,"['osaka', 'juana', 'parka', 'guyana', 'barca', 'markka', 'vodka', 'kafka', 'eichmann', 'aitken']"
0.0,0.0,jacques,jaques,JH AE K S,jacks,JH AE K S,"['jacks', 'japs', 'jerks', 'jokes', 'jakes', 'jocks', 'jacked', 'max', 'macs', 'macks']"
0.0,0.0,japanese,japanes,JH AH P EY N Z,japans,JH AH P AE N Z,"['japans', 'germans', 'pertains', 'jumpers', 'sprains', 'obtains', 'virgins', 'pigeons', 'surgeons', 'patients']"
0.0,1.0,joseph,jospeh,JH AA S P AH,jasper,JH AE S P ER,"['jasper', 'josiah', 'joshua', 'wasps', 'jostle', 'pasta', 'chopra', 'jason', 'joseph', 'josef']"
1.0,1.0,judaism,juadaism,W AA D EY IH Z AH M,judaism,JH UW D EY IH Z AH M,['judaism']
0.0,0.0,judaism,juadism,W AA D IH Z AH M,sadism,S EY D IH Z AH M,"['sadism', 'buddhism', 'monism', 'modicum', 'deism', 'taoism', 'wisdom']"
1.0,1.0,libya,lybia,L IH B IY AH,libya,L IH B IY AH,"['libya', 'livia', 'lydia', 'tibia', 'lamia', 'linear', 'loggia', 'serbia', 'tibia', 'cobia']"
1.0,1.0,malcolm,malcom,M AE L K AH M,malcolm,M AE L K AH M,"['malcolm', 'talcum', 'welcome', 'milken', 'markham', 'holcomb', 'falcon', 'mascot', 'valium', 'maxim']"
0.0,0.0,maltese,maltesian,M AO L T IY ZH AH N,,,[]
1.0,1.0,massachusetts,massachussets,M AE S AH CH UW S AH T S,massachusetts,M AE S AH CH UW S AH T S,['massachusetts']
1.0,1.0,massachusetts,massachussetts,M AE S AH CH UW S AH T S,massachusetts,M AE S AH CH UW S AH T S,['massachusetts']
1.0,1.0,mediterranean,mediteranean,M EH D IH T ER EY N IY AH N,mediterranean,M EH D AH T ER EY N IY AH N,['mediterranean']
1.0,1.0,michigan,michagan,M IH SH AA G AA N,michigan,M IH SH IH G AH N,['michigan']
0.0,1.0,veranda,meranda,M ER AE N D AH,miranda,M ER AE N D AH,"['miranda', 'veranda', 'meander', 'amanda', 'marinas', 'madness', 'mantua', 'canada', 'mantra', 'manama']"
1.0,1.0,mississippi,missisipi,M IH S IH S IH P IY,mississippi,M IH S IH S IH P IY,"['mississippi', 'mississippian']"
1.0,1.0,mississippi,missisippi,M IH S IH S IH P IY,mississippi,M IH S IH S IH P IY,"['mississippi', 'mississippian']"
1.0,1.0,missouri,misouri,M AH Z UH R IY,missouri,M AH Z UH R IY,"['missouri', 'mezuzah', 'matures', 'metairie', 'marathi', 'mature', 'imagery', 'murine', 'mature', 'manure']"
0.0,0.0,muslim,mohammedan,M OW HH AE M AH D AH N,,,[]
0.0,0.0,muslim,muhammadan,M UH HH AA M AH D AH N,muhammad,M UH HH AA M AH D,['muhammad']
0.0,0.0,muslims,mohammedans,M OW HH AE M AH D AH N Z,,,[]
0.0,0.0,nazareth,nazereth,N EY Z ER IH TH,naismith,N EY Z M IH TH,"['naismith', 'naismith', 'neighbouring']"
0.0,0.0,newfoundland,foundland,F AW N D L AH N D,foundation,F AW N D EY SH AH N,"['foundation', 'finland']"
1.0,1.0,nuremberg,nuremburg,N UH R AH M B ER G,nuremberg,N UH R AH M B ER G,"['nuremberg', 'nirenberg']"
0.0,1.0,original,orginal,AO R JH AH N AH L,arsenal,AA R S AH N AH L,"['arsenal', 'oriental', 'virginal', 'original', 'optional', 'orbital', 'regional', 'orphanage', 'rational', 'retinal']"
0.0,0.0,palestinian,palistian,P AH L IH S CH AH N,policeman,P AH L IY S M AH N,"['policeman', 'polyphony', 'polygyny', 'appalachian', 'appalachian']"
1.0,1.0,palestinian,palistinian,P AE L IH S T IH N IY AH N,palestinian,P AE L IH S T IH N IY AH N,"['palestinian', 'palestinians']"
1.0,1.0,philippine,phillipine,F IH L AH P IY N,philippine,F IH L AH P IY N,"['philippine', 'guillotine', 'filigree', 'finland', 'philippines', 'filipino', 'philippi', 'philistine', 'philips', 'philip', 'fillip']"
1.0,1.0,philippines,philipines,F IH L AH P IY N Z,philippines,F IH L AH P IY N Z,"['philippines', 'filipino', 'philistine', 'philippine', 'filipinos', 'philistines']"
1.0,1.0,philippines,phillipines,F IH L AH P IY N Z,philippines,F IH L AH P IY N Z,"['philippines', 'filipino', 'philistine', 'philippine', 'filipinos', 'philistines']"
1.0,1.0,philippines,phillippines,F IH L AH P IY N Z,philippines,F IH L AH P IY N Z,"['philippines', 'filipino', 'philistine', 'philippine', 'filipinos', 'philistines']"
1.0,1.0,portuguese,portugese,P AO R CH UW JH IY Z,portuguese,P AO R CH AH G IY Z,['portuguese']
1.0,1.0,puccini,pucini,P UW CH IY N IY,puccini,P UW CH IY N IY,"['puccini', 'eugenie', 'zucchini', 'houdini', 'cellini', 'plenary', 'chianti', 'peonies', 'peony', 'puny']"
1.0,1.0,rockefeller,rockerfeller,R AA K ER F EH L ER,rockefeller,R AA K AH F EH L ER,['rockefeller']
1.0,1.0,russian,russion,R AH SH AH N,russian,R AH SH AH N,"['russian', 'ration', 'ration', 'rushes', 'rushing', 'lotion', 'session', 'mission', 'lucian', 'laotian']"
0.0,0.0,russian,russina,R UW S IY N AH,rossini,R OW S IY N IY,"['rossini', 'susannah', 'susana', 'messina', 'routines', 'regina', 'serena', 'subpoena', 'lucien', 'salina', 'selena', 'celina']"
1.0,1.0,saturday,saterday,S AE T ER D IY,saturday,S AE T ER D IY,"['saturday', 'saturday', 'satirize', 'sanity', 'satires', 'patterned', 'salaries', 'salaried', 'batteries', 'easterly']"
1.0,1.0,saturdays,saterdays,S AE T ER D IY Z,saturdays,S AE T ER D IY Z,"['saturdays', 'saturdays', 'saboteurs', 'factories', 'asteroids', 'splatters', 'mysteries', 'histories', 'studios', 'bastards']"
0.0,0.0,sistine,sixtin,S IH K S T IH N,sixteen,S IH K S T IY N,"['sixteen', 'sixteen', 'sexton', 'sixties', 'kristin', 'citizen', 'assisting', 'assisted', 'exciting', 'cisterns']"
1.0,1.0,spanish,spainish,S P EY N IH SH,spanish,S P AE N IH SH,"['spanish', 'spinning', 'spurning', 'slavish', 'spanning', 'spawning', 'spawning', 'spacing', 'staining', 'spaces']"
0.0,1.0,time,tiem,T IY M,team,T IY M,"['team', 'teem', 'tame', 'deem', 'diem', 'tome', 'term', 'tim', 'time', 'theme']"
1.0,1.0,ukrainian,ukranian,Y UW K R EY N IY AH N,ukrainian,Y UW K R EY N IY AH N,"['ukrainian', 'ukrainians']"
0.0,0.0,valletta,valetta,V AH L EH T AH,walesa,V AH L EH S AH,"['walesa', 'valera', 'vanessa', 'walesa', 'vanilla', 'collect', 'molest', 'select', 'vulcan', 'celeste']"
1.0,1.0,wednesday,wendsay,W EH N D S EY,wednesday,W EH N Z D EY,"['wednesday', 'wendell', 'wending', 'wednesday', 'wellness', 'welland', 'wetness', 'weekend', 'allende', 'endorse']"
1.0,1.0,wednesday,wensday,W EH N Z D EY,wednesday,W EH N Z D EY,"['wednesday', 'wednesday', 'wendell', 'wending', 'wenches', 'welland', 'weapons', 'allende', 'weekend', 'cleansed']"
1.0,1.0,zionist,sionist,S AY AH N AH S T,zionist,Z AY AH N IH S T,"['zionist', 'sternest', 'signpost', 'slightest', 'sciences', 'sciences', 'scientists', 'tiniest', 'kindest', 'silenced']"
1.0,1.0,zionists,sionists,S AY AH N IH S T S,zionists,Z AY AH N IH S T S,"['zionists', 'pianists', 'cyclists', 'scientists', 'agonists', 'signposts', 'stylists', 'consists', 'scientist', 'solicits']"
1.0,1.0,abandon,abondon,AH B AA N D AH N,abandon,AH B AE N D AH N,"['abandon', 'rwandan', 'brendan', 'brandon', 'branden', 'unburden', 'bronson', 'bosnian', 'toboggan', 'londoner']"
1.0,1.0,abandoned,abondoned,AH B AA N D AH N D,abandoned,AH B AE N D AH N D,"['abandoned', 'abundant', 'abundance', 'abandons', 'unburdened', 'abandon', 'rwandan', 'bonded']"
1.0,1.0,abandoning,abondoning,AH B AA N D AH N IH NG,abandoning,AH B AE N D AH N IH NG,['abandoning']
1.0,1.0,abandons,abondons,AH B AA N D AH N Z,abandons,AH B AE N D AH N Z,"['abandons', 'abundance', 'abandoned', 'abundant', 'rwandans', 'toboggans', 'londoners', 'abandon', 'rwandans', 'rwandan']"
1.0,1.0,aberration,aberation,AE B ER EY SH AH N,aberration,AE B ER EY SH AH N,"['aberration', 'adoration', 'apparition', 'operation', 'alsatian', 'ambition', 'aberrations', 'aspiration', 'liberation', 'affirmation']"
1.0,1.0,bout,baout,B AW T,bout,B AW T,"['bout', 'bowed', 'pout', 'bat', 'batt', 'gout', 'doubt', 'boat', 'baum', 'bouse']"
0.0,0.0,bout,boaut,B OW AO T,brought,B R AO T,"['brought', 'bolt', 'boast', 'blot', 'poet', 'broad', 'bold', 'bowled', 'barrette', 'boned']"
1.0,1.0,absence,absense,AE B S EH N S,absence,AE B S AH N S,"['absence', 'absinthe', 'absent', 'incense', 'incense', 'accent', 'obsessed', 'accessed', 'abstain', 'biceps']"
0.0,0.0,absorbed,asorbed,AH S AO R B D,adorned,AH D AO R N D,"['adorned', 'astride', 'affords', 'accords', 'awards', 'stormed', 'swarmed', 'scorned', 'storied', 'ascribe']"
1.0,1.0,absorption,absorbsion,AH B Z AO R B SH AH N,absorption,AH B Z AO R P SH AH N,"['absorption', 'absorption', 'absorbent', 'abortionists', 'absorbency', 'abortions', 'abortion']"
1.0,1.0,absorption,absorbtion,AH B Z AO R B SH AH N,absorption,AH B Z AO R P SH AH N,"['absorption', 'absorption', 'absorbent', 'abortionists', 'absorbency', 'abortions', 'abortion']"
1.0,1.0,abuts,abutts,AH B AH T S,abuts,AH B AH T S,"['abuts', 'abates', 'averts', 'obits', 'obits', 'agates', 'audits', 'asserts', 'alerts', 'allots']"
1.0,1.0,acceptable,acceptible,AE K S EH P T AH B AH L,acceptable,AE K S EH P T AH B AH L,"['acceptable', 'acceptable', 'acceptably', 'susceptible', 'perceptible', 'acceptably', 'accessible', 'unacceptable']"
1.0,1.0,accessible,accessable,AE K S EH S AH B AH L,accessible,AE K S EH S AH B AH L,"['accessible', 'addressable', 'acceptable', 'taxable', 'sensible']"
0.0,1.0,ascension,accension,AH K S EH N SH AH N,exception,IH K S EH P SH AH N,"['exception', 'dissension', 'succession', 'sensation', 'concession', 'procession', 'obsessions', 'accession', 'ascension', 'attentions']"
0.0,1.0,accidentally,accidently,AE K S AH D AH N T L IY,excellently,EH K S AH L AH N T L IY,"['excellently', 'accidentally', 'accidental', 'accidentally', 'accidents', 'accident']"
0.0,0.0,acclimatization,acclimitization,AH K L IH M AH T AH Z EY SH AH N,,,[]
1.0,1.0,accommodate,accomadate,AE K OW M AH D EY T,accommodate,AH K AA M AH D EY T,['accommodate']
1.0,1.0,accommodate,accomodate,AH K AA M AH D EY T,accommodate,AH K AA M AH D EY T,"['accommodate', 'accommodates', 'accommodated', 'accommodating', 'accommodative']"
1.0,1.0,accommodated,accomadated,AH K AA M AH D EY T IH D,accommodated,AH K AA M AH D EY T AH D,"['accommodated', 'accommodative', 'accommodating', 'accommodates', 'accommodate']"
1.0,1.0,accommodated,accomodated,AH K AA M AH D EY T IH D,accommodated,AH K AA M AH D EY T AH D,"['accommodated', 'accommodative', 'accommodating', 'accommodates', 'accommodate']"
0.0,0.0,accommodates,accomadates,AE K OW M AE D AH T S,,,[]
1.0,1.0,accommodates,accomodates,AH K AA M AH D EY T S,accommodates,AH K AA M AH D EY T S,"['accommodates', 'accommodate', 'accommodated', 'accommodating', 'accommodative']"
1.0,1.0,accommodating,accomadating,AH K AA M AH D EY T IH NG,accommodating,AH K AA M AH D EY T IH NG,"['accommodating', 'accommodative', 'accommodated', 'accommodates', 'accommodate']"
1.0,1.0,accommodating,accomodating,AH K AA M AH D EY T IH NG,accommodating,AH K AA M AH D EY T IH NG,"['accommodating', 'accommodative', 'accommodated', 'accommodates', 'accommodate']"
1.0,1.0,accommodation,accomadation,AH K AA M AH D EY SH AH N,accommodation,AH K AA M AH D EY SH AH N,"['accommodation', 'abomination', 'accommodated', 'commutation', 'combination', 'compilation', 'commendation', 'accommodations']"
1.0,1.0,accommodation,accomodation,AH K AA M AH D EY SH AH N,accommodation,AH K AA M AH D EY SH AH N,"['accommodation', 'abomination', 'accommodated', 'commutation', 'combination', 'compilation', 'commendation', 'accommodations']"
1.0,1.0,accommodations,accomodations,AH K AA M AH D EY SH AH N Z,accommodations,AH K AA M AH D EY SH AH N Z,"['accommodations', 'abominations', 'combinations', 'compilations', 'accommodation', 'commendation']"
1.0,1.0,accompanied,accompanyed,AH K AH M P AH N IY D,accompanied,AH K AH M P AH N IY D,"['accompanied', 'accompanies', 'accompany', 'companies', 'accompanying', 'company', 'compagnie', 'unaccompanied']"
1.0,1.0,accomplish,acomplish,AH K AA M P L IH SH,accomplish,AH K AA M P L IH SH,"['accomplish', 'accomplice', 'accomplished', 'accomplishing', 'accomplishes']"
1.0,1.0,accomplished,acomplished,AH K AA M P L IH SH T,accomplished,AH K AA M P L IH SH T,"['accomplished', 'accomplish', 'accomplishes', 'accomplishing']"
1.0,1.0,accomplishment,acomplishment,AH K AA M P L IH SH M AH N T,accomplishment,AH K AA M P L IH SH M AH N T,"['accomplishment', 'accomplishments']"
1.0,1.0,accomplishments,acomplishments,AH K AA M P L IH SH M AH N T S,accomplishments,AH K AA M P L IH SH M AH N T S,"['accomplishments', 'accomplishment']"
1.0,1.0,according,acording,AH K AO R D IH NG,according,AH K AO R D IH NG,"['according', 'affording', 'awarding', 'accorded', 'aborting', 'scalding', 'scorching', 'adorning', 'awarded', 'applauding']"
1.0,1.0,accuracy,acuracy,AE K Y ER AH S IY,accuracy,AE K Y ER AH S IY,"['accuracy', 'zacharias', 'accuracies', 'rancorous', 'courtesies', 'vacuous', 'currencies', 'accurately', 'accurate', 'courtesy']"
0.0,0.0,accused,accussed,AH K AH S T,accost,AH K AO S T,"['accost', 'occult', 'adjust', 'aghast', 'august', 'august', 'aug', 'attest', 'assist', 'assessed']"
1.0,1.0,accustom,acustom,AH K AH S T AH M,accustom,AH K AH S T AH M,"['accustom', 'augustus', 'accosted', 'crustal', 'custom', 'accustomed', 'luckiest', 'tecumseh', 'custody', 'customer']"
1.0,1.0,accustomed,acustommed,AH K AH S T AH M D,accustomed,AH K AH S T AH M D,"['accustomed', 'conceited', 'concerted', 'accustom', 'accosted', 'customs', 'customer', 'customers', 'customize', 'custody']"
1.0,1.0,achieve,acheive,AH CH IY V,achieve,AH CH IY V,"['achieve', 'unnerve', 'above', 'steve', 'alive', 'unease', 'anneal', 'appease', 'appeal', 'apiece']"
0.0,0.0,archive,achive,AH CH AY V,achieve,AH CH IY V,"['achieve', 'alive', 'unnerve', 'assign', 'outshine', 'above', 'aside', 'affine', 'awhile', 'drive']"
1.0,1.0,achieved,acheived,AH CH IY V D,achieved,AH CH IY V D,"['achieved', 'achieves', 'achiever', 'unpaved', 'appeased', 'afield', 'appealed', 'akiva', 'aeneid', 'sleeved']"
0.0,0.0,archived,achived,AH CH AY V D,achieved,AH CH IY V D,"['achieved', 'achieves', 'unpaved', 'assigned', 'achiever', 'attired', 'aligned', 'thrived', 'derived', 'asides']"
1.0,1.0,achievement,acheivement,AH CH AY V M AH N T,achievement,AH CH IY V M AH N T,"['achievement', 'assignment', 'alignment', 'attachment', 'achievements']"
1.0,1.0,achievement,acheivment,AH CH AY V M AH N T,achievement,AH CH IY V M AH N T,"['achievement', 'assignment', 'alignment', 'attachment', 'achievements']"
1.0,1.0,achievement,achievment,AH CH IY V M AH N T,achievement,AH CH IY V M AH N T,"['achievement', 'appeasement', 'bereavement', 'attachment', 'agreement', 'vehement', 'achievements']"
1.0,1.0,achievements,acheivements,AH CH AY V M AH N T S,achievements,AH CH IY V M AH N T S,"['achievements', 'assignments', 'alignments', 'attachments', 'achievement']"
1.0,1.0,achievements,acheivments,AH CH AY V M AH N T S,achievements,AH CH IY V M AH N T S,"['achievements', 'assignments', 'alignments', 'attachments', 'achievement']"
1.0,1.0,achievements,achievments,AH CH IY V M AH N T S,achievements,AH CH IY V M AH N T S,"['achievements', 'attachments', 'agreements', 'achievement']"
1.0,1.0,achieves,acheives,AH CH IY V Z,achieves,AH CH IY V Z,"['achieves', 'achieved', 'achiever', 'appeals', 'akiva', 'sleeves', 'greaves', 'grieves', 'cleaves', 'achaean']"
1.0,1.0,achieving,acheiving,AH CH IY V IH NG,achieving,AH CH IY V IH NG,"['achieving', 'unnerving', 'annealing', 'appeasing', 'appealing', 'grieving', 'achievers', 'attaching', 'averting', 'avoiding']"
1.0,1.0,acquaintance,acquaintence,AH K W EY N T AH N S,acquaintance,AH K W EY N T AH N S,"['acquaintance', 'accountants', 'acquaintances']"
0.0,0.0,acquaintance,acquiantence,AE K W IY AH N T EH N S,,,[]
1.0,1.0,acquaintance,aquaintance,AH K W EY N T AH N S,acquaintance,AH K W EY N T AH N S,"['acquaintance', 'accountants', 'acquaintances']"
0.0,0.0,acquaintance,aquiantance,AE K W IY EH N T AH N S,acquiescence,AE K W IY EH S AH N S,['acquiescence']
1.0,1.0,acquaintances,acquaintences,AH K W EY N T AH N S IH Z,acquaintances,AH K W EY N T AH N S IH Z,"['acquaintances', 'acquaintanceship', 'acquaintance']"
0.0,0.0,acquaintances,acquiantences,AE K W IY AH N T EH N S IH Z,,,[]
1.0,1.0,acquainted,aquainted,AH K W EY N T IH D,acquainted,AH K W EY N T IH D,"['acquainted', 'unwanted', 'untainted', 'unpainted', 'uncounted', 'educated', 'allocated', 'acquainted', 'acquitted', 'equated']"
0.0,1.0,acquire,adquire,AH D K W AY R,esquire,EH S K W AY R,"['esquire', 'inquire', 'require', 'mcguire', 'acquirer', 'acquires', 'acquired', 'acquire', 'squire', 'reacquire']"
1.0,1.0,acquire,aquire,AH K W AY R,acquire,AH K W AY ER,"['acquire', 'squire', 'equine', 'acquit', 'square', 'unwise', 'aspire', 'haywire', 'across', 'accrues']"
0.0,1.0,acquired,adquired,AE D K W AY ER D,inquired,IH N K W AY ER D,"['inquired', 'required', 'backfired', 'backwards', 'landward', 'acquired', 'backward']"
1.0,1.0,acquired,aquired,AH K W AY ER D,acquired,AH K W AY ER D,"['acquired', 'acquires', 'acquirer', 'squires', 'unwind', 'rewired', 'admired', 'unkind', 'uncured', 'skyward']"
0.0,1.0,acquires,adquires,AH D K W AY R Z,requires,R IY K W AY R Z,"['requires', 'admirers', 'acquirers', 'budweiser', 'acquiring', 'reacquire', 'acquires', 'choirs']"
0.0,1.0,acquiring,adquiring,AE D K W AY R IH NG,requiring,R IY K W AY R IH NG,"['requiring', 'acquiring', 'admiring']"
1.0,1.0,acquiring,aquiring,AH K W AY R IH NG,acquiring,AH K W AY R IH NG,"['acquiring', 'acquiring', 'acquitting', 'squaring', 'aspiring', 'uncaring', 'according', 'awarding', 'quieting', 'quarrying']"
1.0,1.0,acquisition,aquisition,AE K W AH Z IH SH AH N,acquisition,AE K W AH Z IH SH AH N,"['acquisition', 'accusation', 'acquisitions', 'requisition', 'inquisition']"
1.0,1.0,acquitted,acquited,AH K W AY T IH D,acquitted,AH K W IH T IH D,"['acquitted', 'equated', 'excited', 'squirted', 'acquainted', 'acquitting', 'aquatic', 'aquatic', 'accreted', 'acquiring']"
1.0,1.0,acquitted,aquitted,AH K W IH T IH D,acquitted,AH K W IH T IH D,"['acquitted', 'acquitting', 'equated', 'squirted', 'acquainted', 'acquittal', 'aquatic', 'accreted', 'aquatic', 'unwitting']"
1.0,1.0,across,accross,AH K R AO S,across,AH K R AO S,"['across', 'accrues', 'oppress', 'uproar', 'abroad', 'accrued', 'scrawl', 'accel', 'affix', 'chorus']"
1.0,1.0,actually,actualy,AE K CH UW AH L IY,actually,AE K CH UW AH L IY,"['actually', 'actuary', 'annually', 'virtually', 'naturally', 'naturally', 'actual', 'crucially', 'cruelty', 'faculty']"
0.0,0.0,adaptation,adaption,AH D AE P SH AH N,adoption,AH D AA P SH AH N,"['adoption', 'addiction', 'admission', 'eruption', 'eruption', 'corruption', 'apportion', 'oppression', 'gumption', 'apparition']"
0.0,0.0,adaptations,adaptions,AH D AE P SH AH N Z,adoptions,AH D AA P SH AH N Z,"['adoptions', 'addictions', 'admissions', 'eruptions', 'eruptions', 'corruptions', 'oppressions', 'apparitions', 'additions', 'adoption']"
1.0,1.0,address,addres,AE D R EY Z,address,AE D R EH S,"['address', 'address', 'advise', 'strays', 'appraise', 'iras', 'adams', 'addams', 'mores', 'sprays']"
1.0,1.0,additionally,additinally,AH D IH T AH N AH L IY,additionally,AH D IH SH AH N AH L IY,"['additionally', 'medicinally', 'additional', 'medicinal']"
0.0,0.0,address,adres,EY D R EY Z,strays,S T R EY Z,"['strays', 'iras', 'appraise', 'sprays', 'forays', 'mores', 'berets', 'airways', 'etudes', 'dairies']"
